MASS,R
2.066725,
1.13,1.21
50,
1.484,1.318
,0.28615
,0.13487
13,
,0.14945
,0.12394
2.54,
,0.23056
,0.16312
12.1,
2.7,
0.367,
0.43,0.96
,0.556806
1.323,1.02
5.61,
,0.2825
,0.28524
,0.32625
1,
0.0961,
17.5,6
,
0.2,
0.53,
1.138,1.697
0.0405,
0.892,1.426
,0.12941
,0.10662
,0.1048
0.017182,0.207777
0.020262,0.225092
0.021637,0.232382
,0.2415
,0.28888
,0.14854
,0.24696
,0.13305
,0.17132
,0.13396
6.86,
,0.12485
,0.10389
3.06,1.08
0.02,
0.33,
1.12,1.363
,0.20778
,0.2342
,0.09204
,0.10936
,0.16495
,0.10571
1.47,1.603
,0.27612
,0.11482
11.79,1.217
,0.28433
,0.2096
,0.12667
,0.17953
,0.56319
,0.22418
,0.16312
,0.20504
,0.13032
0.67,
,0.19593013
1.13,
1.9,
,0.31167
,0.2096
7.8,
24,
27,
0.85,
0.82,
1.054,1.332
,1.06622
,0.208
,0.2497
,0.25425
0.39,
,0.1367
,0.18044
0.62,
,0.26792
,0.13487
1.06,1.252
0.5,1.08
2.71,
1.06,
2.6,
0.9,1.7
2.45,1.312
,0.482991
,0.318956
2,
4.2,
,0.26428
,0.35996
,0.26246
1.24,
1.19,
4.2,
1.032,1.104
,0.2743
,0.1367
0.197,
,0.13852
,0.22783
,0.14399
,0.11847
,0.10936
,0.13852
,0.1212
1,
0.514,0.86
,0.53493
,0.21324
,0.20049
,0.23694
,0.19411
,0.16586
,0.34447
,0.20049
,0.15401
1.87,
7.7,
1.8,
1.3,1.2
0.486,1.991
1.019836,1.229348
0.020132,0.55954
1.6,
,0.2178
,0.25061
,0.1449
,0.19684
,0.18864
,0.14125
,0.1449
0.319,0.998
0.4,
1.22,
1.925,1.085
14,
,0.27886
,0.19046
0.74,
2.5,
0.9,1.184
0.95,1.56
1.9,
0.869,1.002
9.7,1.13
0.907,1.213
0.037182,0.23056
,0.14399
,0.12667
0.626,1.212
0.017616,
0.00346,
0.011954,
0.008493,
0.008493,
0.016043,
0.01447,
,0.24241
,0.25972
,0.15857
,0.14945
2.1,
2.78,1.1
1.71,
0.168,
0.48,1.2
,0.22965
,0.13214
0.688908,
0.015729,
,0.4839
,0.25699
1.9,
0.0379,
0.0496,
,0.33809
,0.28524
0.57,1.3
0.28,
,0.15583
,0.19593
0.855,1.008
0.23,
1.35,1.288
,1.406
0.098,
0.003554642,
0.542,1.428
1.275,1.321
7.246,0.867
6.575,
0.543,1.212
0.493,1.284
2,
0.045,
0.33,
1.68,
,0.21233
,0.22874
1.3,
12,
,0.21142
,0.20322
9.7,
0.040894,0.311666
,0.2415
,0.1695
,0.12029
,0.17041
0.010475,0.133962
0.054106,0.214156
,0.12
1.79,
0.23,
,0.24058
,0.24241
,0.12758
,0.26063
,0.25061
,0.19775
,0.237
4.5,
,0.18317
,0.1613
0.59,1.22
1.1215,1.363
,0.32806906
,0.30984
11.1,
10.5,
0.761,1.099
5.3,
6.6,
0.127,0.728
,0.10936
,0.06744
1.486,1.306
0.276,1.162
,0.22145
,0.24696
0.0363,
0.0498,
0.0519,
1.72,1.34
0.0727,0.3767
0.000880796,0.06014599
,0.20322
,0.18682
,0.20231
,0.11665
1.5,
0.0322,
0.06472,
0.11,
0.68,
,0.17862
,0.17588
,0.22783
14,
2.53,
0.54,
1.64,
,0.208
0.38,1.43
,0.31258
,0.16768
,0.24332
,0.13761
,0.09933
,0.14307
0.175787,0.642469
0.113864,0.520354
0.023912154,0.9113
1.4,
,0.02761247
,0.067618678
,0.181349
0.34,1.09
,0.23056
,0.17679
,0.2096
1.16,
,0.146
0.011041,0.134873
,
1.11,
,0.14216
,0.13305
1.91,1.305
0.0695,0.593
0.569,0.893
3.3,
0.4,
,0.25972
,0.14672
,0.19046
,0.15401
,0.12394
19.1,1.11
,0.69988
,0.17862
,0.12029
,0.1449
0.0238,
0.64,
0.54,
0.309,1.293
0.36,
0.431,1.695
0.95,1.24
2.6,
,0.14307
,0.08931
,0.1212
,0.07382
,0.39186
,0.32169
,0.36543
,0.30346
,0.2579
12.5,1.1
0.68,1.27
0.101,
0.246,
1.271,1.271
,0.073
1.88,
6.3,
0.115,
0.0327,
0.244,0.792
0.84,1.05
7,
,1.029772
,0.738155
,0.262455
,0.242407
,0.261544
,0.108445
,0.119381
,0.26519
,0.23147
,0.25425
2.2,
0.77,
2.29,
0.005285,0.109356
0.04372523,0.440159
1.25,
5.3,
2.51,
0.01,
0.8306,
0.1714,
3.878,
0.02561,0.1813
0.141,
,0.18226
,0.14945
4.1,
,0.30802
,0.21324
,0.30346
0.0214,0.2513
0.0223,0.2623
0.00692,0.1123
0.0186,0.2145
0.00714,0.2089
0.027,0.17
0.051,0.27
0.06,0.25
,0.0791
,0.093
8.74,0.951
0.267,0.825
,0.15492
,0.16859
,0.10753
,0.18135
8.4,1.136
0.00786,0.29162
0.00377,0.25516
,0.14854
1.071,1.039
10.6,
1.73,1.413
,0.097509
12.582803,
0.0126,0.1319
,
21.5,1.8
,0.1932
,0.18682
2.71,1.09
0.10821,0.2415
0.23624,0.39368
,0.22509
,0.15401
,0.1932
,0.19684
,0.30893
,0.27977
0.88,1.191
,0.16768
,0.113
,0.11938
,0.25608
,0.1932
,0.33992
,0.2415
,0.13214
1.855,1.302
0.0487583,
0.38,
,0.191
,0.29708
,0.21233
4.64,
1.16,1.75
20.6,
0.27,1.08
1.345,1.168
0.54,
1.99,
0.86,
1.76,
1.15,
0.37,
0.711,1.34
,0.21598
,0.23238
,0.27977
,0.34903
,0.37455
,0.51397
,0.22509
,0.1613
2.32,1.39
,0.1695
,0.12211
0.029,
,0.06835
,0.06379
3.2,
0.76,0.944
,0.17588
,0.12758
0.72,1.19
1.75,
2.01,
3.12,
,0.24605
,0.20504
10.39,1.007
,0.28797
,0.33627
,0.42284
0.35,
0.567,1.19
1.02,
1.06,1.47
0.032841,0.227826
0.035137,0.233294
,0.074727
,0.086574
,0.108
,0.234
,0.184
20,0.92
2.3,
1.778,1.209
0.28,1.27
0.8,
1.34,
0.057,
1.88,1.16
,0.20413
,0.12029
0.015814,0.199575
0.007759,0.141252
,0.23694
,0.09933
0.0378,
0.0422,
2.2,
0.56,1.29
1.16,
,0.2041318
,0.1558328
0.89,1.37
1,
,0.13214
,0.18317
1.2,0.41
4,
1.15,
0.313,1.458
0.468,
1.78,
10.78,
8.86,
1.059,
1.24,1.11
0.75,
,0.25972
,0.15219
,0.24332
0.023,0.192
0.013,0.239
0.415,1.034
1.08,
,0.25972
,0.24787
0.9,
,0.1777
,0.12303
6.7,
,0.27248
,0.14125
0.941,2.037
2.3,
0.34,
,0.10207
,0.10298
0.524,1.217
0.211,0.959
3.15,
7.46,
16,
,0.12576
,0.08111
7.2,
,0.57868
,0.51489
,0.41555
0.019346,0.134873
2.6,
0.727,
0.271,
,0.1932
,0.17315
,0.5631852
,0.20595
,0.2825
,0.20595
,0.09569
0.615,1.73
0.058,
,0.69168
,0.3545
,0.33171
,0.3062
0.62,
,0.23603
,0.13761
,0.21871
0.58,
3.9,
3.47,1.31
2.75,0.97
,0.20413
,0.23785
,0.3709
,0.27521
,0.29071
,0.27886
4.8,
,0.19046
,0.15674
11,
11,
1.82,
2.5,
1.47,
1.9,
,0.14034
,0.16768
,0.26701
,0.24879
,0.23967
,0.15583
3.1,
1.028,1.281
0.51,1.238
0.45,
,0.14216
,0.22874
1.49,
0.15,
0.2755,1.021
,0.215979
,0.229648
,0.09113
,0.10024
7.5,
2.034,1.036
0.049702,
0.017301,
0.019,
0.0061,
0.0220199,
0.0097516,
7.1,
,2.1
0.02894,
0.215,
,0.26428
,0.07564
2.11,
2.49,1.39
0.0014,0.068
0.0021,0.078
1.8,
2,
1.138,1.138
0.554,0.952
,0.16312
,0.09751
,0.158566
,0.2916
,0.487547
,0.366343
,0.406441
,0.21416
,0.18773
,0.14581
,0.14216
2.171,1.07
7.75,
7.7,
0.64,
2.35,
2.19,
,0.36817
,0.24605
,0.13943
0.48,
0.837,1.065
1.1,9.7
4,
0.0292,
0.0382,
0.121,
,0.12849
